name,mac address,encryption,lat,lon
Colba.NET,00:02:6F:34:56:BF,None,-179.776747,-178.843231
Audi_MMI_2661,00:06:C6:93:70:9E,WPA+AES-CCM WPA+PSK,-97.666332,-73.573682
Viametrics_351579056279332,00:07:80:3F:19:7F,WPA+AES-CCM WPA+PSK,-177.840567,-176.654387
None,00:09:5B:FE:A4:DA,WPA+PSK WPA+TKIP,45.605453,-73.553307
Turbobeacon9463,00:0A:EB:F7:13:72,WPA+AES-CCM WPA+PSK,45.605472,-73.533028
IRepair FREE WIFI,00:0C:42:BC:94:5C,None,-149.726739,-151.664131
GlobeSurferIII,00:0C:E3:6F:F6:3D,WPA+PSK WPA+TKIP,-169.250121,-145.157551
None,00:0E:58:23:63:DB,WPA+AES-CCM WPA+PSK,-97.668670,-73.576235
Video_Link,00:0E:8F:78:FF:0C,WPA+AES-CCM WPA+PSK,-179.703350,-179.150218
YANSE_CS,00:0E:C6:03:41:15,WPA+AES-CCM WPA+PSK,-169.249799,-73.574228
CIK5780,00:0E:F4:DC:A0:D9,WPA+AES-CCM WPA+PSK WPA+TKIP,45.610161,-73.544983
CIK0574,00:0E:F4:DD:B4:12,WPA+AES-CCM WPA+PSK WPA+TKIP,45.496097,-73.576981
Oriental Ark Hao Miao,00:0E:F4:DE:60:D0,WPA+AES-CCM WPA+PSK WPA+TKIP,45.498516,-73.574264
ZHONGCHENG,00:0E:F4:DF:B7:96,WPA+AES-CCM WPA+PSK WPA+TKIP,-149.728126,-151.665585
CIK7918,00:0E:F4:DF:B7:C2,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.250603,-73.575085
CIK0312,00:0E:F4:DF:E8:C5,WPA+AES-CCM WPA+PSK WPA+TKIP,-126.194043,-159.429848
linksys1,00:0F:66:94:D7:54,WEP,-169.146031,-145.119590
helene,00:11:95:57:AB:11,WPA+PSK WPA+TKIP,-126.201916,-159.433573
HoTdOg,00:12:17:B6:B7:58,WPA+AES-CCM WPA+PSK WPA+TKIP,-126.190223,-159.440423
